celda,ancla,n_semillas,bin,seed
gene_a_disease,4998,5,bajo,42
gene_a_disease,943,5,bajo,42
gene_a_disease,729238,5,bajo,42
gene_a_disease,6623,6,bajo,42
gene_a_disease,4489,6,bajo,42
gene_a_disease,6355,6,bajo,42
gene_a_disease,5473,5,bajo,42
gene_a_disease,5170,6,bajo,42
gene_a_disease,23042,5,bajo,42
gene_a_disease,9332,5,bajo,42
gene_a_disease,2534,6,bajo,42
gene_a_disease,2350,6,bajo,42
gene_a_disease,80216,5,bajo,42
gene_a_disease,8021,5,bajo,42
gene_a_disease,717,5,bajo,42
gene_a_disease,1266,5,bajo,42
gene_a_disease,6272,5,bajo,42
gene_a_disease,369,5,bajo,42
gene_a_disease,3482,6,bajo,42
gene_a_disease,4942,6,bajo,42
gene_a_disease,55379,6,bajo,42
gene_a_disease,57412,5,bajo,42
gene_a_disease,93664,5,bajo,42
gene_a_disease,11067,5,bajo,42
gene_a_disease,79759,5,bajo,42
gene_a_disease,2643,6,bajo,42
gene_a_disease,2273,6,bajo,42
gene_a_disease,3913,5,bajo,42
gene_a_disease,1129,6,bajo,42
gene_a_disease,26270,5,bajo,42
gene_a_disease,3087,5,bajo,42
gene_a_disease,3882,5,bajo,42
gene_a_disease,8451,5,bajo,42
gene_a_disease,4361,5,bajo,42
gene_a_disease,1364,5,bajo,42
gene_a_disease,22891,5,bajo,42
gene_a_disease,2026,5,bajo,42
gene_a_disease,2632,5,bajo,42
gene_a_disease,54903,5,bajo,42
gene_a_disease,50807,5,bajo,42
gene_a_disease,11035,5,bajo,42
gene_a_disease,9668,5,bajo,42
gene_a_disease,10987,5,bajo,42
gene_a_disease,50943,7,medio,42
gene_a_disease,8802,9,medio,42
gene_a_disease,822,8,medio,42
gene_a_disease,1675,8,medio,42
gene_a_disease,780,9,medio,42
gene_a_disease,5731,7,medio,42
gene_a_disease,5685,7,medio,42
gene_a_disease,7307,7,medio,42
gene_a_disease,5291,8,medio,42
gene_a_disease,6690,6,medio,42
gene_a_disease,948,9,medio,42
gene_a_disease,93,7,medio,42
gene_a_disease,308,8,medio,42
gene_a_disease,8573,7,medio,42
gene_a_disease,2919,7,medio,42
gene_a_disease,11197,9,medio,42
gene_a_disease,2254,10,medio,42
gene_a_disease,3897,8,medio,42
gene_a_disease,3912,7,medio,42
gene_a_disease,688,8,medio,42
gene_a_disease,95,7,medio,42
gene_a_disease,10128,9,medio,42
gene_a_disease,6792,8,medio,42
gene_a_disease,5187,7,medio,42
gene_a_disease,3659,10,medio,42
gene_a_disease,4897,8,medio,42
gene_a_disease,91752,8,medio,42
gene_a_disease,1152,10,medio,42
gene_a_disease,8216,7,medio,42
gene_a_disease,885,7,medio,42
gene_a_disease,57016,8,medio,42
gene_a_disease,11277,8,medio,42
gene_a_disease,6662,9,medio,42
gene_a_disease,3785,7,medio,42
gene_a_disease,4869,8,medio,42
gene_a_disease,51176,7,medio,42
gene_a_disease,3575,8,medio,42
gene_a_disease,3714,7,medio,42
gene_a_disease,3762,7,medio,42
gene_a_disease,6320,7,medio,42
gene_a_disease,406913,7,medio,42
gene_a_disease,1081,7,medio,42
gene_a_disease,4170,7,medio,42
gene_a_disease,3014,7,medio,42
gene_a_disease,4041,8,medio,42
gene_a_disease,100131801,9,medio,42
gene_a_disease,1184,8,medio,42
gene_a_disease,6098,7,medio,42
gene_a_disease,288,7,medio,42
gene_a_disease,4835,7,medio,42
gene_a_disease,4143,11,alto,42
gene_a_disease,6716,14,alto,42
gene_a_disease,6337,10,alto,42
gene_a_disease,27232,13,alto,42
gene_a_disease,7099,34,alto,42
gene_a_disease,2705,14,alto,42
gene_a_disease,6648,134,alto,42
gene_a_disease,2697,23,alto,42
gene_a_disease,546,16,alto,42
gene_a_disease,3845,97,alto,42
gene_a_disease,627,19,alto,42
gene_a_disease,4313,46,alto,42
gene_a_disease,51129,11,alto,42
gene_a_disease,672,28,alto,42
gene_a_disease,2261,30,alto,42
gene_a_disease,5465,25,alto,42
gene_a_disease,5111,17,alto,42
gene_a_disease,7415,10,alto,42
gene_a_disease,1432,13,alto,42
gene_a_disease,3689,16,alto,42
gene_a_disease,1436,13,alto,42
gene_a_disease,43,22,alto,42
gene_a_disease,7273,15,alto,42
gene_a_disease,581,24,alto,42
gene_a_disease,6285,12,alto,42
gene_a_disease,1544,20,alto,42
gene_a_disease,5595,28,alto,42
gene_a_disease,4297,22,alto,42
gene_a_disease,3039,18,alto,42
gene_a_disease,1832,13,alto,42
gene_a_disease,5395,19,alto,42
gene_a_disease,836,23,alto,42
gene_a_disease,3082,28,alto,42
gene_a_disease,5054,23,alto,42
gene_a_disease,1392,13,alto,42
gene_a_disease,3569,98,alto,42
gene_a_disease,4953,12,alto,42
gene_a_disease,2072,11,alto,42
gene_a_disease,7428,33,alto,42
gene_a_disease,6750,18,alto,42
gene_a_disease,5915,21,alto,42
gene_a_disease,406902,11,alto,42
gene_a_disease,2950,51,alto,42
gene_a_disease,3565,27,alto,42
gene_a_disease,8000,11,alto,42
gene_a_disease,2247,19,alto,42
gene_a_disease,1649,15,alto,42
gene_a_disease,5371,12,alto,42
gene_a_disease,5071,17,alto,42
gene_a_disease,6647,53,alto,42
