celda,ancla,n_semillas,bin,seed
disease_a_gene,C0011609,20,alto,42
disease_a_gene,C0546126,84,alto,42
disease_a_gene,C0011881,42,alto,42
disease_a_gene,C0013182,29,alto,42
disease_a_gene,C0036095,43,alto,42
disease_a_gene,C0030567,75,alto,42
disease_a_gene,C0001956,34,alto,42
disease_a_gene,C0004134,22,alto,42
gene_a_disease,1457,5,bajo,42
gene_a_disease,80776,5,bajo,42
gene_a_disease,4192,6,bajo,42
gene_a_disease,267,5,bajo,42
gene_a_disease,284058,5,bajo,42
gene_a_disease,57045,6,bajo,42
gene_a_disease,5518,6,bajo,42
gene_a_disease,55198,5,bajo,42
gene_a_disease,109,5,bajo,42
gene_a_disease,8639,5,bajo,42
gene_a_disease,83746,6,bajo,42
gene_a_disease,51062,6,bajo,42
gene_a_disease,7178,5,bajo,42
gene_a_disease,5892,5,bajo,42
gene_a_disease,5610,5,bajo,42
gene_a_disease,22995,6,bajo,42
gene_a_disease,9563,5,bajo,42
gene_a_disease,23635,5,bajo,42
gene_a_disease,23385,5,bajo,42
gene_a_disease,8754,5,bajo,42
gene_a_disease,8829,6,bajo,42
gene_a_disease,84735,6,bajo,42
gene_a_disease,1161,6,bajo,42
gene_a_disease,7227,6,bajo,42
gene_a_disease,3716,6,bajo,42
gene_a_disease,3398,6,bajo,42
gene_a_disease,54585,5,bajo,42
gene_a_disease,60528,5,bajo,42
gene_a_disease,6443,6,bajo,42
gene_a_disease,144132,5,bajo,42
gene_a_disease,10987,6,bajo,42
gene_a_disease,8884,6,bajo,42
gene_a_disease,26060,5,bajo,42
gene_a_disease,22943,6,bajo,42
gene_a_disease,406906,6,bajo,42
gene_a_disease,11236,6,bajo,42
gene_a_disease,259232,5,bajo,42
gene_a_disease,2947,5,bajo,42
gene_a_disease,4026,6,bajo,42
gene_a_disease,9123,6,bajo,42
gene_a_disease,50,5,bajo,42
gene_a_disease,123264,5,bajo,42
gene_a_disease,2299,6,bajo,42
gene_a_disease,1952,5,bajo,42
gene_a_disease,2588,5,bajo,42
gene_a_disease,5949,6,bajo,42
gene_a_disease,54919,5,bajo,42
gene_a_disease,10878,6,bajo,42
gene_a_disease,25824,5,bajo,42
gene_a_disease,10801,6,bajo,42
gene_a_disease,51204,9,medio,42
gene_a_disease,8803,9,medio,42
gene_a_disease,81,7,medio,42
gene_a_disease,1576,10,medio,42
gene_a_disease,79366,7,medio,42
gene_a_disease,55904,7,medio,42
gene_a_disease,563,10,medio,42
gene_a_disease,7204,9,medio,42
gene_a_disease,5311,10,medio,42
gene_a_disease,6256,10,medio,42
gene_a_disease,4149,9,medio,42
gene_a_disease,9415,8,medio,42
gene_a_disease,2931,9,medio,42
gene_a_disease,8671,8,medio,42
gene_a_disease,2775,8,medio,42
gene_a_disease,11155,8,medio,42
gene_a_disease,2177,10,medio,42
gene_a_disease,3872,8,medio,42
gene_a_disease,3977,9,medio,42
gene_a_disease,6462,9,medio,42
gene_a_disease,343641,9,medio,42
gene_a_disease,10125,9,medio,42
gene_a_disease,6515,8,medio,42
gene_a_disease,5193,7,medio,42
gene_a_disease,3551,7,medio,42
gene_a_disease,4867,8,medio,42
gene_a_disease,51176,8,medio,42
gene_a_disease,116135,8,medio,42
gene_a_disease,8405,8,medio,42
gene_a_disease,9314,8,medio,42
gene_a_disease,5588,7,medio,42
gene_a_disease,112476,10,medio,42
gene_a_disease,6341,7,medio,42
gene_a_disease,374569,7,medio,42
gene_a_disease,4704,7,medio,42
gene_a_disease,5125,9,medio,42
gene_a_disease,3490,9,medio,42
gene_a_disease,366,8,medio,42
gene_a_disease,3694,9,medio,42
gene_a_disease,5897,7,medio,42
gene_a_disease,406989,7,medio,42
gene_a_disease,10855,10,medio,42
gene_a_disease,4330,8,medio,42
gene_a_disease,28234,7,medio,42
gene_a_disease,405,8,medio,42
gene_a_disease,10000,8,medio,42
gene_a_disease,118856,11,medio,42
gene_a_disease,57167,8,medio,42
gene_a_disease,2673,7,medio,42
gene_a_disease,4810,7,medio,42
gene_a_disease,4323,14,alto,42
gene_a_disease,673,92,alto,42
gene_a_disease,6506,17,alto,42
gene_a_disease,2796,14,alto,42
gene_a_disease,7170,28,alto,42
gene_a_disease,8991,20,alto,42
gene_a_disease,6869,11,alto,42
gene_a_disease,283120,12,alto,42
gene_a_disease,5621,29,alto,42
gene_a_disease,3972,16,alto,42
gene_a_disease,6521,18,alto,42
gene_a_disease,4607,13,alto,42
gene_a_disease,5428,23,alto,42
gene_a_disease,6927,19,alto,42
gene_a_disease,23493,21,alto,42
gene_a_disease,55764,17,alto,42
gene_a_disease,5318,13,alto,42
gene_a_disease,8200,18,alto,42
gene_a_disease,1387,22,alto,42
gene_a_disease,3855,12,alto,42
gene_a_disease,1401,46,alto,42
gene_a_disease,4437,15,alto,42
gene_a_disease,7546,13,alto,42
gene_a_disease,6329,19,alto,42
gene_a_disease,64324,11,alto,42
gene_a_disease,1514,19,alto,42
gene_a_disease,59341,34,alto,42
gene_a_disease,4487,18,alto,42
gene_a_disease,3162,67,alto,42
gene_a_disease,1910,17,alto,42
gene_a_disease,551,29,alto,42
gene_a_disease,8856,17,alto,42
gene_a_disease,3240,38,alto,42
gene_a_disease,5295,22,alto,42
gene_a_disease,1294,19,alto,42
gene_a_disease,3690,16,alto,42
gene_a_disease,5179,15,alto,42
gene_a_disease,2166,13,alto,42
gene_a_disease,834,11,alto,42
gene_a_disease,6775,14,alto,42
gene_a_disease,6338,15,alto,42
gene_a_disease,4129,23,alto,42
gene_a_disease,3077,18,alto,42
gene_a_disease,3714,11,alto,42
gene_a_disease,8600,11,alto,42
gene_a_disease,2354,17,alto,42
gene_a_disease,1756,22,alto,42
gene_a_disease,554,11,alto,42
gene_a_disease,5241,29,alto,42
gene_a_disease,6790,17,alto,42
