id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
CHEMBL3833334,CHEMBL3833406,PAPAVERETUM,PAPAVERETUM,2,2,2,True,True,False,False,False,False,papaveretum,Papaveretum,,,,,False,True
CHEMBL3833338,CHEMBL3833407,STREPTODUOCIN,STREPTODUOCIN,2,2,2,True,True,False,False,False,False,streptoduocin,Streptoduocin,,,,,False,True
CHEMBL3833343,DRUGBANK:DB14891,VOBARILIZUMAB,Vobarilizumab,2,333,2,True,True,False,False,False,False,vobarilizumab,Vobarilizumab,,,,,True,True
CHEMBL3833344,DRUGBANK:DB14784,GANCOTAMAB,Gancotamab,1,334,2,True,True,False,False,False,False,gancotamab,Gancotamab,,,,,True,True
CHEMBL3833346,DRUGBANK:DB14782,TOFERSEN,Tofersen,1,2,2,True,True,False,False,False,False,tofersen,Tofersen,,,,,True,True
CHEMBL3833348,DRUGBANK:DB13209,BISMUTH SUBNITRATE,Bismuth subnitrate,2,272,2,True,True,False,False,False,False,bismuth subnitrate,Bismuth subnitrate,,,,,True,True
CHEMBL3833357,DRUGBANK:DB13241,BEGELOMAB,Begelomab,2,316,2,True,True,False,False,False,False,begelomab,Begelomab,,,,,True,True
CHEMBL3833359,DRUGBANK:DB11191,COBAMAMIDE,Cobamamide,2,3,2,True,True,False,False,False,False,cobamamide,Cobamamide,,,,,True,True
CHEMBL3833363,CHEMBL3990854,CERIUM OXALATE,CERIUM OXALATE,2,2,2,True,True,False,False,False,False,cerium oxalate,Cerium oxalate,,,,,False,True
CHEMBL3833367,DRUGBANK:DB04996,SATRAPLATIN,Satraplatin,6,10,2,True,True,False,False,False,False,satraplatin,Satraplatin,,,,,True,True
CHEMBL3833369,DRUGBANK:DB13961,FISH OIL,Fish oil,1,677,2,True,True,False,False,False,False,fish oil,Fish oil,,,,,True,True
CHEMBL3833373,DRUGBANK:DB11945,AVELUMAB,Avelumab,64,340,2,True,True,False,False,False,False,avelumab,Avelumab,,,,,True,True
CHEMBL3833379,DRUGBANK:DB13743,SODIUM AUROTIOSULFATE,Sodium aurotiosulfate,2,1,2,True,True,False,False,False,False,sodium aurotiosulfate,Sodium aurotiosulfate,,,,,True,True
CHEMBL3833391,CHEMBL3833413,CLOFEZONE,CLOFEZONE,4,4,2,True,True,False,False,False,False,clofezone,Clofezone,,,,,False,True
CHEMBL3833393,DRUGBANK:DB13923,EMICIZUMAB,Emicizumab,2,430,2,True,True,False,False,False,False,emicizumab,Emicizumab,,,,,True,True
CHEMBL386630,RXNORM:10379,TESTOSTERONE,testosterone,1552,1,2,True,True,False,False,False,False,testosterone,Testosterone,,,,,True,True
CHEMBL387675,DRUGBANK:DB00080,DAPTOMYCIN,Daptomycin,19,829,2,True,True,False,False,False,False,daptomycin,Daptomycin,,,,,False,True
CHEMBL387675,RXNORM:22299,DAPTOMYCIN,daptomycin,19,8,2,True,True,False,False,False,False,daptomycin,Daptomycin,,,,,True,True
CHEMBL397647,CHEMBL4297292,JNJ-17166864,JNJ-17166864,2,2,2,True,True,False,False,False,False,jnj 17166864,JNJ-17166864,,,,,False,True
CHEMBL3988900,DRUGBANK:DB09321,ZINC OXIDE,Zinc oxide,19,78,2,True,True,False,False,False,False,zinc oxide,Zinc Oxide,,,,,False,True
CHEMBL3989476,DRUGBANK:DB12842,PEGAMOTECAN,Pegamotecan,1,36,2,True,True,False,False,False,False,pegamotecan,Pegamotecan,,,,,True,True
CHEMBL3989504,DRUGBANK:DB13261,SITAFLOXACIN,Sitafloxacin,2,890,2,True,True,False,False,False,False,sitafloxacin,Sitafloxacin,,,,,True,True
CHEMBL3989678,CHEMBL3990694,PIPERAZINE CITRATE,PIPERAZINE CITRATE,1,1,2,True,True,False,False,False,False,piperazine citrate,Piperazine citrate,,,,,False,True
CHEMBL3989751,DRUGBANK:DB00994,NEOMYCIN,Neomycin,16,958,2,True,True,False,False,False,False,neomycin,Neomycin,,,,,True,True
CHEMBL3989756,CHEMBL3990276,TALC,TALC,6,6,2,True,True,False,False,False,False,talc,Talc,,,,,False,True
CHEMBL3989756,DRUGBANK:DB09511,TALC,Talc,6,53,2,True,True,False,False,False,False,talc,Talc,,,,,True,True
CHEMBL3989762,DRUGBANK:DB13651,LORAJMINE,Lorajmine,2,432,2,True,True,False,False,False,False,lorajmine,Lorajmine,,,,,True,True
CHEMBL3989767,DRUGBANK:DB00017,CALCITONIN SALMON,Salmon calcitonin,7,905,2,False,True,False,True,False,False,,Calcitonin salmon,,BBBFJLBPOGFECG-VJVYQDLKSA-N,,,False,True
CHEMBL3989780,DRUGBANK:DB00364,SUCRALFATE,Sucralfate,4,869,2,True,True,False,False,False,False,sucralfate,Sucralfate,,,,,False,True
CHEMBL3989893,DRUGBANK:DB13633,MEPARTRICIN,Mepartricin,2,283,2,True,True,False,False,False,False,mepartricin,Mepartricin,,,,,True,True
CHEMBL3989977,DRUGBANK:DB14724,EMAPALUMAB,Emapalumab,9,1258,2,True,True,False,False,False,False,emapalumab,Emapalumab,,,,,True,True
CHEMBL3989986,DRUGBANK:DB11580,RAVULIZUMAB,Ravulizumab,12,607,2,True,True,False,False,False,False,ravulizumab,Ravulizumab,,,,,True,True
CHEMBL3989987,DRUGBANK:DB14582,PATISIRAN,Patisiran,3,1,2,True,True,False,False,False,False,patisiran,Patisiran,,,,,True,True
CHEMBL3989990,DRUGBANK:DB15363,ISTIRATUMAB,Istiratumab,2,333,2,True,True,False,False,False,False,istiratumab,Istiratumab,,,,,True,True
CHEMBL3989997,DRUGBANK:DB15172,SUVRATOXUMAB,Suvratoxumab,2,333,2,True,True,False,False,False,False,suvratoxumab,Suvratoxumab,,,,,True,True
CHEMBL3990011,DRUGBANK:DB13017,ROVALPITUZUMAB TESIRINE,Rovalpituzumab tesirine,3,334,2,True,True,False,False,False,False,rovalpituzumab tesirine,Rovalpituzumab tesirine,,,,,True,True
CHEMBL3990014,DRUGBANK:DB14910,MIRIKIZUMAB,Mirikizumab,3,1,2,True,True,False,False,False,False,mirikizumab,Mirikizumab,,,,,True,True
CHEMBL3990021,DRUGBANK:DB11884,VADASTUXIMAB TALIRINE,Vadastuximab talirine,3,334,2,True,True,False,False,False,False,vadastuximab talirine,Vadastuximab talirine,,,,,True,True
CHEMBL3990026,DRUGBANK:DB14712,ELAPEGADEMASE,Elapegademase,3,36,2,True,True,False,False,False,False,elapegademase,Elapegademase,,,,,True,True
CHEMBL3990028,DRUGBANK:DB15253,BLESELUMAB,Bleselumab,2,602,2,True,True,False,False,False,False,bleselumab,Bleselumab,,,,,True,True
CHEMBL3990029,DRUGBANK:DB14762,RISANKIZUMAB,Risankizumab,11,606,2,True,True,False,False,False,False,risankizumab,Risankizumab,,,,,True,True
