id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
HP_0008752,HP_3000038,Laryngeal cartilage malformation,Abnormal cricoid cartilage morphology,2,2,1,False,False,False,False,True,False,,,,,0d66b1641d8408d6d47688bc14e9d2c61102c5de,,False,False
HP_0009011,HP_0009026,Hypoplasia of serratus anterior muscle,Hypoplasia of latissimus dorsi muscle,3,3,1,False,False,False,False,True,False,,,,,4104149d83a083771af16c8c13bb8cb082cf4bfa,,False,False
HP_0009031,HP_0011916,Amyotrophy of ankle musculature,Toe extensor amyotrophy,3,3,1,False,False,False,False,True,False,,,,,0ea51b317b2a6f69eafebbfd0198875845fd0b1e,,False,False
HP_0009830,meddra:10029328,Peripheral neuropathy,Neuropathy,795,2,1,False,True,False,False,False,False,,Neuropathy,,,,,True,True
HP_0010280,meddra:10042128,Stomatitis,Stomatitis,16,3,1,True,False,False,False,False,False,stomatitis,,,,,,True,True
HP_0010783,meddra:10015150,Erythema,Erythema,832,7,1,True,False,False,False,False,False,erythema,,,,,,True,True
HP_0010838,HP_0032254,High nonceruloplasmin-bound serum copper,Increased circulating copper concentration,2,2,1,False,False,False,False,True,False,,,,,7174b94762ee339be496858f04d29c5cc1272ed1,,False,False
HP_0011024,meddra:10017944,Abnormality of the gastrointestinal tract,Gastrointestinal disorder,2882,10,1,False,True,False,False,False,False,,Gastrointestinal disease,,,,,True,True
HP_0011428,HP_0011429,Short fetal femur length,Short fetal humerus length,2,2,1,False,False,False,False,True,False,,,,,a49c37f796b922e5163f0e2493eeb369380d42eb,,False,False
HP_0011428,HP_0011430,Short fetal femur length,Hypoplasia of fetal nasal bone,2,2,1,False,False,False,False,True,False,,,,,a49c37f796b922e5163f0e2493eeb369380d42eb,,False,False
