id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad,grado_secundario
MONDO_0010748,Orphanet_3341,torticollis-keloids-cryptorchidism-renal dysplasia syndrome,Torticollis - keloids - cryptorchidism - renal dysplasia,267,263,4,True,True,True,False,False,True,torticollis keloids cryptorchidism renal dysplasia,torticollis keloids cryptorchidism renal dysplasia,Orphanet:3341,,,0.985,False,True,263
MONDO_0010789,Orphanet_550,MELAS syndrome,MELAS,89,224,4,True,True,True,True,False,False,melas,MELAS,Orphanet:550,C0162671,,,False,True,89
MONDO_0010855,Orphanet_2832,short tarsus-absence of lower eyelashes syndrome,Short tarsus - absence of lower eyelashes,14,13,4,True,True,True,False,False,True,short tarsus absence of lower eyelashes,short tarsus absence of lower eyelashes,Orphanet:2832,,,0.929,False,True,13
MONDO_0011048,Orphanet_1948,epilepsy-microcephaly-skeletal dysplasia syndrome,Epilepsy - microcephaly - skeletal dysplasia,10,9,4,True,True,True,False,False,True,epilepsy microcephaly skeletal dysplasia,epilepsy - microcephaly - skeletal dysplasia,Orphanet:1948,,,0.9,False,True,9
MONDO_0011059,Orphanet_2163,holoprosencephaly-craniosynostosis syndrome,Holoprosencephaly - craniosynostosis,34,32,4,True,True,True,False,False,True,holoprosencephaly craniosynostosis,holoprosencephaly craniosynostosis,Orphanet:2163,,,0.941,False,True,32
MONDO_0011669,Orphanet_163690,hypotonia-cystinuria syndrome,Hypotonia - cystinuria syndrome,894,880,4,True,True,True,False,False,True,hypotonia cystinuria,hypotonia-cystinuria syndrome,Orphanet:163690,,,0.984,False,True,880
MONDO_0011883,Orphanet_307766,Curly hair - acral keratoderma - caries syndrome,Curly hair-acral keratoderma-caries syndrome,72,70,4,True,True,True,False,False,True,curly hair acral keratoderma caries,Curly hair - acral keratoderma - caries syndrome,Orphanet:307766,,,0.972,True,True,70
MONDO_0012043,Orphanet_98961,Reis-Bucklers corneal dystrophy,Reis-Bücklers corneal dystrophy,101,98,4,True,True,True,False,False,True,reis bucklers corneal dystrophy,Reis Bucklers corneal dystrophy,Orphanet:98961,,,0.97,False,True,98
MONDO_0012786,Orphanet_247794,juvenile cataract-microcornea-renal glucosuria syndrome,Juvenile cataract - microcornea - renal glucosuria,307,305,4,True,True,True,False,False,True,juvenile cataract microcornea renal glucosuria,juvenile cataract-microcornea-renal glucosuria syndrome,Orphanet:247794,,,0.993,False,True,305
MONDO_0013971,Orphanet_314051,leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome,Leukoencephalopathy - thalamus and brainstem anomalies - high lactate,40,38,4,True,True,True,False,False,True,leukoencephalopathy thalamus and brainstem anomalies high lactate,leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome,Orphanet:314051,,,0.95,False,True,38
MONDO_0019772,Orphanet_93964,blepharospasm-oromandibular dystonia syndrome,Blepharospasm - oromandibular dystonia,35,34,4,True,True,True,False,False,True,blepharospasm oromandibular dystonia,blepharospasm - oromandibular dystonia,Orphanet:93964,,,0.971,True,True,34
EFO_0009012,MONDO_0019170,Polyarteritis Nodosa,polyarteritis nodosa,1156,48,3,True,True,False,True,False,False,polyarteritis nodosa,polyarteritis nodosa,,C0031036,,,False,True,48
EFO_0009049,MONDO_0009066,Juvenile nephropathic cystinosis,juvenile nephropathic cystinosis,127,122,3,True,True,False,False,False,True,juvenile nephropathic cystinosis,juvenile nephropathic cystinosis,,,,0.93,False,True,122
MONDO_0001703,Orphanet_98658,color vision disorder,Color-vision disease,1024,621,3,True,True,True,False,False,False,color vision,color-vision disease,Orphanet:98658,,,,False,True,621
MONDO_0002525,Orphanet_309005,inherited lipid metabolism disorder,Disorder of lipid metabolism,6598,2427,3,False,True,True,True,False,False,,disorder of lipid metabolism,Orphanet:309005,C0154251,,,False,True,2427
MONDO_0006037,Orphanet_2189,hydrolethalus syndrome,Hydrolethalus,69,157,3,True,True,True,False,False,False,hydrolethalus,hydrolethalus,Orphanet:2189,,,,False,True,69
MONDO_0007124,Orphanet_1071,ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,Ankyloblepharon - ectodermal defects - cleft lip/palate,81,117,3,True,True,True,False,False,False,ankyloblepharon ectodermal defects cleft lip palate,Ankyloblepharon ectodermal defects cleft lip/palate,Orphanet:1071,,,,False,True,81
MONDO_0007202,Orphanet_1259,blepharoptosis-myopia-ectopia lentis syndrome,Blepharoptosis - myopia - ectopia lentis,112,69,3,True,True,True,False,False,False,blepharoptosis myopia ectopia lentis,blepharoptosis myopia ectopia lentis,Orphanet:1259,,,,False,True,69
MONDO_0007205,Orphanet_85182,diaphyseal medullary stenosis-bone malignancy syndrome,Diaphyseal medullary stenosis - bone malignancy,29,45,3,True,True,True,False,False,False,diaphyseal medullary stenosis bone malignancy,diaphyseal medullary stenosis-bone malignancy syndrome,Orphanet:85182,,,,False,True,29
MONDO_0007230,Orphanet_1292,Brachymorphism-onychodysplasia-dysphalangism syndrome,Brachymorphism - onychodysplasia - dysphalangism,17,12,3,True,True,True,False,False,False,brachymorphism onychodysplasia dysphalangism,Brachymorphism onychodysplasia dysphalangism syndrome,Orphanet:1292,,,,True,True,12
